"Timestamp","What best describes you?","How often do you go to the gym?","Do you follow a structured workout program?","How do you currently track your workouts?","How often do you record sets/reps/weights during a workout?","During a typical workout, how frequently do you check your program or notes?","What is the most frustrating part of your gym workflow?","Have you ever forgotten what set/weight you were on during a workout?","To what extent do you agree with the following statement:
“Tracking or checking my workout interrupts my training flow”","If you log workouts, how long does it take you AFTER a workout to finish logging?","During a workout, what information do you wish you had instantly available?","How do you currently check or improve your lifting form?","Which of the following features would be most valuable to you?","What concerns would you have about a system like this?","How likely would you be to try this system if it were available next week?","How often would you realistically use it?","How much would you be willing to pay (if anything)?"
"2026/04/22 10:44:52 PM MDT","NCAA Athlete","Daily","Yes (coach provided)","Spreadsheet","Every exercise","Every few sets","Checking my workouts and also scrolling back to previous weeks  or going back to other spreadsheets to see what weight I did on my next exercise in previous weeks","Occasionally","3","3-5 minutes","Rest time, sets left, how to do a certain exercise, what weight I did last times I did this exercise, what to focus on for a given exercise","Coach feedback;Filming myself;Mirrors","Automatic set/rep tracking;Automatic rest timer;Performance tracking over time","","4","Most lifts","$5-10 / month"
"2026/04/23 11:01:31 PM MDT","NCAA Athlete","1-2x/week","Yes (coach provided)","I don't track","Rarely / never","A few times","","Yes, frequently","4","I don't log","","Coach feedback;Mirrors","Automatic set/rep tracking;Real-time workout plan display;Automatic rest timer","","5","","$10+ / month"
"2026/04/24 12:17:37 AM MDT","NCAA Athlete","1-2x/week","Yes (coach provided)","I don't track","Every set","Every set","Not knowing what how the movement is properly done  ","Never","3","0-2 minutes","Number of reps","Coach feedback;Mirrors","Automatic set/rep tracking;Real-time workout plan display;Automatic rest timer;Form feedback using video/AI;Performance tracking over time","Too much work for me, and pulls me outa da zone ","5","Most lifts","$1-5 / month"
"2026/04/24 12:54:13 AM MDT","NCAA Athlete","1-2x/week","Yes (coach provided)","Paper notebook","Every exercise","Every few sets","Waiting for a machine / station","Occasionally","4","0-2 minutes","#of reps / tempo","Coach feedback;Mirrors","Automatic set/rep tracking;Real-time workout plan display;Automatic rest timer;Performance tracking over time","Lack of accurate automation (thinking I finished / started a set / excercise innacurately)","4","Occasionally","$1-5 / month"
"2026/04/24 10:10:02 AM MDT","NCAA Athlete","1-2x/week","Yes (coach provided)","Spreadsheet","Rarely / never","Every few sets","","Yes, frequently","3","I don't log","","Coach feedback;Mirrors","Real-time workout plan display;Automatic rest timer;Form feedback using video/AI;Performance tracking over time","","3","Most lifts","$5-10 / month"
"2026/04/24 10:10:35 AM MDT","NCAA Athlete","1-2x/week","Yes (coach provided)","Paper notebook","After the workout","Every set","Forgetting what exercise I have next","Yes, frequently","5","0-2 minutes","Rep range, form feedback","Coach feedback;Mirrors","Automatic set/rep tracking;Form feedback using video/AI;Performance tracking over time","Privacy/data sharing (my form might look so ass don’t want that on YouTube yk)","4","Most lifts","$5-10 / month"
"2026/04/24 10:11:19 AM MDT","NCAA Athlete","1-2x/week","Yes (coach provided)","Spreadsheet","Every set","Every set","Repeatedly going back to the lift card to check what exercise to do and how many reps / what weight","Yes, frequently","5","6-10 minutes","Rep count, exercise type, rest timer","Coach feedback;Mirrors","Automatic set/rep tracking;Real-time workout plan display;Automatic rest timer;Form feedback using video/AI;Performance tracking over time","Accuracy of feedback, concerns with filming others in the gym","5","Every lift","$10+ / month"
"2026/04/24 10:51:23 AM MDT","NCAA Athlete","1-2x/week","Yes (coach provided)","Spreadsheet","Rarely / never","Never","forgetting what i had next, and as a result having to check my lift card ","Occasionally","3","I don't log","Which lift was next.","Coach feedback","Automatic set/rep tracking","","4","Most lifts","$0"
"2026/04/24 12:15:31 PM MDT","NCAA Athlete","1-2x/week","Yes (coach provided)","I don't track","Rarely / never","Every few sets","Not knowing the exercises or what order they are in","Occasionally","3","I don't log","Visuals on the exercises","Coach feedback","Real-time workout plan display","I would be checking my phone just as frequently","2","Occasionally","$1-5 / month"
"2026/04/24 12:18:01 PM MDT","NCAA Athlete","Daily","Yes (coach provided)","Paper notebook","Rarely / never","Every set","timing exercises and counting reps","Yes, frequently","5","I don't log","sets, RPE, time, all the excercises. just basics","Coach feedback;Mirrors","Automatic set/rep tracking;Real-time workout plan display;Automatic rest timer;Performance tracking over time","","5","Most lifts","$1-5 / month"
"2026/04/24 12:21:03 PM MDT","NCAA Athlete","3-4x/week","Yes (coach provided)","I don't track","Rarely / never","Every few sets","Equipment availability","Rarely","1","I don't log","Reps and Weights","Coach feedback","Automatic set/rep tracking;Real-time workout plan display;Automatic rest timer","","4","Most lifts","$0"
"2026/04/24 12:21:43 PM MDT","NCAA Athlete","3-4x/week","Yes (coach provided)","Paper notebook","After the workout","Never","","Occasionally","2","6-10 minutes","amount of reps left ","Coach feedback;I don't check form","Automatic set/rep tracking;Automatic rest timer;Performance tracking over time","","2","Most lifts","$0"
"2026/04/24 12:26:16 PM MDT","NCAA Athlete","1-2x/week","Yes (coach provided)","I don't track","Rarely / never","Every few sets","Not knowing information like how many reps to do or the weight","Yes, frequently","4","I don't log","Number or reps, I the exercise, and the weight","Coach feedback","Automatic set/rep tracking;Performance tracking over time","","4","Every lift","$5-10 / month"
"2026/04/24 12:47:11 PM MDT","NCAA Athlete","1-2x/week","Yes (coach provided)","Paper notebook","Every set","Every few sets","Losing my lift card","Rarely","3","3-5 minutes","Which muscles are fatigued and which can still go","Coach feedback;Mirrors","Automatic set/rep tracking;Form feedback using video/AI;Performance tracking over time","I would want the feedback to be high quality, not AI slop","4","Most lifts","$10+ / month"
"2026/04/24 1:46:33 PM MDT","NCAA Athlete","1-2x/week","Yes (coach provided)","I don't track","Rarely / never","Every set","Keeping my sheet with me at all times","Yes, frequently","5","I don't log","My reps and sets ","Coach feedback","Real-time workout plan display;Automatic rest timer;Performance tracking over time","None so far if it was form checking than making sure it was accurate","5","Every lift","$1-5 / month"